bio,contact_page,createdAt,email_list,email_without_contact,location,name,profileUrl,redirected_website,screenName,status,userId,website
"Women who are changing the world through business, investing and philanthropy.",https://www.forbes.com/contact/,Fri Mar 20 21:38:01 +0000 2009,"security@forbes.com, corrections@forbes.com, reprints@forbes.com, investingcs@forbes.com, dlopenzina@forbes.com, feedback@forbes.com, permissions@forbes.com, readers@forbes.com, custserv@cdsfulfillment.com",,New York,ForbesWomen,https://twitter.com/ForbesWomen,https://www.forbes.com/forbeswomen/,ForbesWomen,True,25581439,https://t.co/YwLFL72AGK
Premier Facebook Marketing Expert | Social Media Thought Leader | Keynote Speaker | Dynamic Live Video Host | Ambassador | 🇨🇦🏴󠁧󠁢󠁳󠁣󠁴󠁿🇺🇸,https://www.marismith.com/contact-mari/,Tue Sep 11 22:22:51 +0000 2007,None,,"San Diego, California",Mari Smith,https://twitter.com/MariSmith,https://www.marismith.com,MariSmith,False,8820652,https://t.co/qiStueZarB
"We are @Cision Distribution’s premier platform, the most trusted & largest network in the industry. We focus on good content here, marcomm trends, the future.",https://www.cision.com/contact-us/,Mon Apr 16 16:57:54 +0000 2007,None,,Global,PR Newswire,https://twitter.com/PRNewswire,https://www.cision.com/products/distribution/,PRNewswire,False,4898501,https://t.co/yAIVQw4PF6
"The hub for communicators. Conferences, awards and how-to content. #PRNEWS",https://www.prnewsonline.com/about/,Tue Mar 24 15:38:15 +0000 2009,None,,US,PRNEWS,https://twitter.com/PRNews,https://www.prnewsonline.com/,PRNews,False,26258900,https://t.co/HvdJ9S3NDD
Founder of @convince Marketing and customer experience expert advising the world's largest brands. 6-time author. Hall of Fame speaker & emcee. Podcast host.,https://www.jaybaer.com/contact/,Mon Mar 10 17:22:27 +0000 2008,None,,"Bloomington, Indiana",Jay Baer,https://twitter.com/jaybaer,https://www.JayBaer.com/,jaybaer,False,14115587,https://t.co/yTkLHRYuV5
"25-year PR Pro helping others get their share of publicity & social media; Founder, Free Publicity Newsletter. 
For Free Sample Issue: http://t.co/DXwBxbftj2",https://contactanycelebrity.com/cac/articles/#genesis-content,Wed Aug 13 17:27:31 +0000 2008,None,,"Fort Lee, NJ USA",Bill Stoller,https://twitter.com/PublicityGuru,https://contactanycelebrity.com/cac/articles/,PublicityGuru,False,15839517,http://t.co/qpAWZp5t3R
"Discover the latest news in advertising, marketing, media and tech. Join #AdweekChat at 2pm ET on Wednesdays.",https://www.adweek.com/contact-us/,Fri Apr 10 12:20:45 +0000 2009,None,,New York City,Adweek,https://twitter.com/Adweek,https://www.adweek.com/,Adweek,False,30205586,https://t.co/5GsyiFiwln
"Head of Content at MarketingProfs, a marketing education & training company with a practical approach. Speaker. WSJ bestselling author of 2 books. Say hi! 👋🏻",https://www.marketingprofs.com/about/contact/,Sat Sep 01 21:14:04 +0000 2007,None,,"Boston, Massachusetts",Ann Handley,https://twitter.com/MarketingProfs,https://www.marketingprofs.com/,MarketingProfs,False,8596022,https://t.co/RcrzdAkZOk
"PR Daily is an educational resource for PR, marketing and social media professionals.",https://www.prdaily.com/contact-us/,Tue Mar 17 16:44:18 +0000 2009,"brendang@ragan.com, cservice@ragan.com, hannahl@ragan.com, amyj@ragan.com, tedk@ragan.com, mandyz@ragan.com",,Chicago,PR Daily,https://twitter.com/PRDaily,https://www.prdaily.com:443/,PRDaily,True,24910049,https://t.co/WKK92wD0aj
Social media news and tips from the global leader in social media management. Sign up for free: https://t.co/tu3kCJcRft Support: @Hootsuite_Help,https://hootsuite.com/about/contact,Fri Oct 31 22:26:54 +0000 2008,None,,"Vancouver, Canada",Hootsuite,https://twitter.com/hootsuite,https://blog.hootsuite.com/,hootsuite,False,17093617,https://t.co/3XvuxvKAqy
